,A:7,A:aug,A:dim,A:dim7,A:hdim7,A:maj,A:maj6,A:maj7,A:min,A:min6,A:min7,A:minmaj7,A:sus2,A:sus4,Ab:7,Ab:aug,Ab:dim,Ab:dim7,Ab:hdim7,Ab:maj,Ab:maj6,Ab:maj7,Ab:min,Ab:min6,Ab:min7,Ab:minmaj7,Ab:sus2,Ab:sus4,B:7,B:aug,B:dim,B:hdim7,B:maj,B:maj6,B:maj7,B:min,B:min6,B:min7,B:sus2,B:sus4,Bb:7,Bb:aug,Bb:dim,Bb:hdim7,Bb:maj,Bb:maj6,Bb:maj7,Bb:min,Bb:min6,Bb:min7,Bb:minmaj7,Bb:sus2,Bb:sus4,C#:7,C#:aug,C#:dim,C#:dim7,C#:hdim7,C#:maj,C#:maj6,C#:maj7,C#:min,C#:min6,C#:min7,C#:minmaj7,C#:sus2,C#:sus4,C:7,C:aug,C:dim,C:dim7,C:hdim7,C:maj,C:maj6,C:maj7,C:min,C:min6,C:min7,C:minmaj7,C:sus2,C:sus4,D:7,D:aug,D:dim,D:dim7,D:hdim7,D:maj,D:maj6,D:maj7,D:min,D:min6,D:min7,D:sus2,D:sus4,E:7,E:aug,E:dim,E:dim7,E:hdim7,E:maj,E:maj6,E:maj7,E:min,E:min6,E:min7,E:minmaj7,E:sus2,E:sus4,Eb:7,Eb:aug,Eb:dim,Eb:dim7,Eb:hdim7,Eb:maj,Eb:maj6,Eb:maj7,Eb:min,Eb:min6,Eb:min7,Eb:minmaj7,Eb:sus2,Eb:sus4,F#:7,F#:aug,F#:dim,F#:dim7,F#:hdim7,F#:maj,F#:maj6,F#:maj7,F#:min,F#:min6,F#:min7,F#:minmaj7,F#:sus2,F#:sus4,F:7,F:aug,F:dim,F:dim7,F:hdim7,F:maj,F:maj6,F:maj7,F:min,F:min6,F:min7,F:minmaj7,F:sus2,F:sus4,G:7,G:aug,G:dim,G:dim7,G:hdim7,G:maj,G:maj6,G:maj7,G:min,G:min7,G:minmaj7,G:sus2,G:sus4,end_chord,start_chord
C#:dim,0.00%,0.00%,0.00%,0.00%,0.00%,0.95%,0.00%,0.00%,14.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.46%,0.00%,0.00%,1.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.73%,0.00%,1.47%,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.99%,1.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.80%,0.00%,0.00%,7.55%,0.00%,0.00%,1.66%,0.00%,0.00%,0.00%,0.00%,2.48%,0.00%,0.00%,0.00%,0.00%,5.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.84%,0.00%,0.00%,0.00%,0.00%,2.48%,0.00%,0.00%,0.00%,0.00%,0.00%,1.26%,0.00%,0.00%,2.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:dim7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.85%,0.00%,8.83%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,30.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:hdim7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,29.21%,0.00%,7.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,40.08%,0.00%,7.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.76%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:maj,0.00%,0.00%,0.00%,0.00%,0.00%,0.54%,0.00%,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.20%,0.00%,0.00%,0.00%,0.00%,8.51%,0.15%,0.33%,1.85%,0.06%,0.09%,0.00%,0.13%,0.36%,0.00%,0.00%,0.00%,0.00%,4.32%,0.00%,0.14%,0.28%,0.00%,0.00%,0.45%,0.02%,0.00%,0.00%,0.00%,0.00%,1.75%,0.00%,0.00%,7.30%,0.00%,1.04%,0.00%,0.13%,0.28%,0.33%,0.00%,0.06%,0.02%,0.00%,11.22%,0.12%,0.86%,1.22%,0.00%,0.10%,0.00%,2.54%,1.00%,0.00%,0.27%,0.26%,0.00%,0.04%,1.47%,0.00%,0.04%,3.66%,0.00%,0.42%,0.00%,0.00%,0.43%,0.00%,0.00%,0.26%,0.00%,0.02%,0.37%,0.00%,0.05%,0.17%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.04%,0.00%,0.00%,0.25%,0.00%,0.02%,0.02%,0.00%,0.00%,0.00%,0.05%,0.00%,0.57%,0.00%,0.00%,0.00%,0.00%,9.18%,0.00%,0.00%,7.53%,0.00%,0.89%,0.00%,0.38%,0.67%,0.06%,0.06%,0.00%,0.00%,0.00%,14.35%,0.02%,0.72%,3.20%,0.00%,0.05%,0.00%,1.14%,0.30%,0.06%,0.00%,0.09%,0.00%,0.00%,1.13%,0.00%,0.25%,3.37%,0.00%,0.67%,0.00%,0.08%,0.09%,0.00%,0.00%,0.21%,0.00%,0.10%,0.16%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.06%,1.17%,0.00%
C#:maj6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.09%,0.00%,0.00%,0.00%,0.00%,4.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.90%,0.00%,9.47%,0.00%,0.00%,0.00%,12.34%,0.00%,0.00%,0.00%,0.00%,0.00%,4.07%,0.00%,0.00%,1.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.08%,0.00%,0.00%,26.64%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.58%,0.00%,0.00%,9.06%,0.00%,0.00%,0.00%,1.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:maj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.45%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,21.10%,0.00%,3.60%,0.00%,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.00%,9.91%,1.15%,3.37%,1.07%,0.00%,0.00%,0.38%,1.13%,0.63%,0.00%,0.00%,1.93%,0.00%,0.00%,0.37%,0.00%,0.00%,1.03%,0.00%,0.86%,0.00%,0.35%,0.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.77%,0.00%,0.00%,0.00%,0.00%,4.89%,0.24%,0.00%,1.59%,0.00%,2.07%,0.00%,0.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19.58%,0.00%,6.58%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.73%,0.00%,2.59%,0.00%,0.00%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:min,0.09%,0.00%,0.00%,0.00%,0.00%,10.45%,0.00%,0.86%,0.22%,0.00%,0.00%,0.00%,0.39%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,1.09%,0.04%,0.00%,6.72%,0.00%,0.23%,0.00%,0.21%,0.49%,0.04%,0.00%,0.04%,0.00%,7.54%,0.25%,0.00%,2.82%,0.00%,0.32%,0.12%,0.05%,0.00%,0.00%,0.07%,0.16%,0.04%,0.00%,0.00%,0.07%,0.00%,0.03%,0.00%,0.00%,0.03%,0.18%,0.00%,0.00%,0.00%,0.00%,1.48%,0.00%,0.04%,12.40%,0.00%,0.54%,0.00%,2.44%,0.69%,0.00%,0.15%,0.03%,0.00%,0.00%,0.22%,0.00%,0.04%,0.12%,0.00%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.81%,0.00%,0.07%,0.21%,0.00%,0.00%,0.50%,0.00%,0.04%,0.03%,0.00%,0.00%,0.00%,4.22%,0.06%,0.13%,0.24%,0.00%,0.00%,0.00%,0.13%,0.05%,0.10%,0.00%,0.00%,0.00%,0.07%,1.88%,0.00%,0.00%,4.16%,0.00%,0.45%,0.00%,0.00%,0.37%,0.73%,0.00%,0.00%,0.00%,0.00%,11.45%,0.08%,0.00%,15.96%,0.00%,0.51%,0.00%,1.18%,0.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%,0.63%,0.00%
C#:min6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:min7,0.42%,0.00%,0.00%,0.00%,0.00%,8.46%,0.77%,1.51%,0.00%,0.00%,0.00%,0.00%,1.36%,0.00%,0.19%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.81%,0.00%,2.33%,0.00%,0.00%,0.00%,0.26%,0.00%,0.00%,0.00%,2.95%,0.78%,0.00%,3.71%,0.00%,1.05%,0.51%,0.28%,0.00%,0.00%,2.70%,1.99%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.21%,0.00%,0.00%,8.86%,0.00%,2.57%,0.00%,0.96%,1.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.82%,0.00%,1.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.38%,0.00%,1.11%,0.22%,0.00%,0.00%,0.00%,0.72%,0.00%,0.77%,0.00%,0.72%,0.00%,0.72%,0.39%,0.00%,0.00%,0.96%,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,0.00%,0.00%,0.00%,0.00%,13.77%,0.00%,0.00%,12.10%,0.00%,5.50%,0.00%,1.00%,3.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:minmaj7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,17.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,23.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C#:sus2,0.00%,0.00%,0.00%,0.00%,0.00%,3.45%,0.00%,0.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.45%,0.00%,0.00%,0.00%,0.00%,6.29%,0.00%,0.16%,0.94%,0.00%,0.57%,0.00%,0.45%,0.15%,0.00%,0.00%,0.00%,0.00%,1.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.00%,0.00%,0.00%,0.48%,0.42%,0.48%,0.00%,0.00%,5.22%,0.00%,0.94%,0.00%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.00%,28.08%,0.16%,1.64%,9.16%,0.00%,0.00%,0.00%,4.70%,3.30%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,1.12%,0.00%,0.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.19%,0.00%,0.55%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,2.46%,0.20%,0.00%,0.95%,0.00%,2.10%,0.00%,0.15%,0.67%,0.15%,0.00%,0.00%,0.00%,0.00%,7.54%,0.25%,0.20%,4.14%,0.00%,0.00%,0.00%,1.98%,0.24%,0.24%,0.00%,0.00%,0.00%,0.00%,0.56%,0.00%,0.14%,1.96%,0.00%,1.39%,0.00%,0.31%,0.13%,0.00%,0.00%,0.00%,0.00%,0.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.37%,0.00%
C#:sus4,0.00%,0.00%,0.00%,0.41%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.17%,0.00%,0.00%,1.58%,0.00%,0.50%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,7.03%,0.00%,0.43%,1.36%,0.00%,0.74%,0.73%,0.35%,0.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.36%,0.00%,0.00%,0.00%,0.00%,31.30%,0.00%,0.00%,5.91%,0.00%,1.53%,0.00%,3.33%,5.42%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.00%,0.00%,0.45%,0.00%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.68%,0.00%,0.00%,0.00%,0.55%,0.00%,0.18%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,0.53%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.09%,0.00%,0.53%,0.00%,0.00%,0.25%,0.00%,0.00%,0.00%,0.00%,0.00%,14.37%,0.25%,1.11%,7.55%,0.00%,0.71%,0.00%,1.66%,0.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.49%,0.00%
C:7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.80%,0.82%,1.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.44%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.82%,0.00%,0.00%,0.00%,0.00%,7.59%,0.00%,0.82%,0.00%,0.00%,0.80%,0.00%,1.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.59%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.45%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.29%,0.00%,0.00%,0.00%,0.00%,0.00%,1.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,36.02%,0.00%,0.00%,11.33%,0.00%,1.56%,0.00%,5.24%,0.95%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C:aug,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.27%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,16.08%,0.00%,0.00%,23.61%,0.00%,0.00%,0.00%,0.00%,21.52%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.38%,0.00%,0.00%,0.00%,0.00%,2.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,14.48%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.04%,0.00%,3.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,5.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
C:dim,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.11%,0.00%,0.00%,4.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,39.12%,0.00%,0.00%,1.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.22%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,15.30%,0.00%,0.00%,3.69%,0.00%,0.00%,0.00%,5.17%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.18%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.15%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.61%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.41%,0.00%,0.00%,11.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
